timecode,clip,beat,role,cut_seconds,generated_seconds,trim_seconds,subject,note
3:14.5,S4-01,SCENE 4,ESTABLISH,2.5,12,9.5,—,"Set the place. Cut out the moment it reads — these run long by design."
3:17.0,S4-02,SCENE 4,BUILD,6.0,15,9.0,don,"The scene. Carry the line; trim to the words plus a breath."
3:23.0,S4-03,SCENE 4,BUILD,3.5,12,8.5,vinnie,"The scene. Carry the line; trim to the words plus a breath."
3:26.5,S4-04,SCENE 4,BUILD,4.5,15,10.5,don,"The scene. Carry the line; trim to the words plus a breath."
3:31.0,S4-05,SCENE 4,APPROACH,3.5,10,6.5,don,"He registers you. Cut INTO the turn on the matching head angle — this join should be invisible."
3:34.5,S4-06,SCENE 4,TURN,7.5,15,7.5,don,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
3:42.0,S4-07,SCENE 4,TURN,6.0,12,6.0,don,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
3:48.0,S4-08,SCENE 4,HOLD,4.0,8,4.0,don,"He lands it. Hold past comfortable, then cut on the card."
3:52.0,S4-09,SCENE 4,OUT,2.0,8,6.0,—,"The exit. Cut on the hit — the music is doing the work here."
3:54.0,— MARKER —,SCENE 4,CARD,,,,,"THE DROP-OFF — Hop the traffic, make the drop, go again. Every package counts."
3:54.0,S5-01,SCENE 5,ESTABLISH,2.5,12,9.5,—,"Set the place. Cut out the moment it reads — these run long by design."
3:56.5,S5-02,SCENE 5,BUILD,6.0,15,9.0,preston,"The scene. Carry the line; trim to the words plus a breath."
4:02.5,S5-03,SCENE 5,BUILD,4.5,12,7.5,kayleigh,"The scene. Carry the line; trim to the words plus a breath."
4:07.0,S5-04,SCENE 5,BUILD,3.0,10,7.0,preston,"The scene. Carry the line; trim to the words plus a breath."
4:10.0,S5-05,SCENE 5,APPROACH,3.5,10,6.5,preston,"He registers you. Cut INTO the turn on the matching head angle — this join should be invisible."
4:13.5,S5-06,SCENE 5,TURN,7.5,15,7.5,preston,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
4:21.0,S5-07,SCENE 5,TURN,7.0,12,5.0,preston,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
4:28.0,S5-08,SCENE 5,HOLD,3.5,8,4.5,preston,"He lands it. Hold past comfortable, then cut on the card."
4:31.5,S5-09,SCENE 5,OUT,2.0,8,6.0,—,"The exit. Cut on the hit — the music is doing the work here."
4:33.5,— MARKER —,SCENE 5,CARD,,,,,"THE STAKEOUT — Tap the red faces fast. Touch a guest and you're the leak."
4:33.5,S6-01,SCENE 6,ESTABLISH,3.0,12,9.0,—,"Set the place. Cut out the moment it reads — these run long by design."
4:36.5,S6-02,SCENE 6,BUILD,5.0,15,10.0,—,"The scene. Carry the line; trim to the words plus a breath."
4:41.5,S6-03,SCENE 6,BUILD,4.0,12,8.0,don,"The scene. Carry the line; trim to the words plus a breath."
4:45.5,S6-04,SCENE 6,INSERT,2.5,10,7.5,sugar,"A cutaway. Short. It exists to hide a join or land a joke."
4:48.0,S6-05,SCENE 6,APPROACH,4.0,10,6.0,—,"He registers you. Cut INTO the turn on the matching head angle — this join should be invisible."
4:52.0,S6-06,SCENE 6,TURN,8.0,15,7.0,—,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
5:00.0,S6-07,SCENE 6,TURN,6.5,12,5.5,—,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
5:06.5,S6-08,SCENE 6,HOLD,3.5,8,4.5,—,"He lands it. Hold past comfortable, then cut on the card."
5:10.0,S6-09,SCENE 6,OUT,3.0,10,7.0,—,"The exit. Cut on the hit — the music is doing the work here."
5:13.0,— MARKER —,SCENE 6,CARD,,,,,"SMASH & GRAB — Bounce the ball, break the glass. Don't leave a dollar."
5:13.0,S7-01,SCENE 7,ESTABLISH,2.5,12,9.5,—,"Set the place. Cut out the moment it reads — these run long by design."
5:15.5,S7-02,SCENE 7,BUILD,5.0,15,10.0,preston,"The scene. Carry the line; trim to the words plus a breath."
5:20.5,S7-03,SCENE 7,BUILD,4.0,12,8.0,preston,"The scene. Carry the line; trim to the words plus a breath."
5:24.5,S7-04,SCENE 7,BUILD,3.0,10,7.0,kayleigh,"The scene. Carry the line; trim to the words plus a breath."
5:27.5,S7-05,SCENE 7,APPROACH,3.5,10,6.5,preston,"He registers you. Cut INTO the turn on the matching head angle — this join should be invisible."
5:31.0,S7-06,SCENE 7,TURN,8.0,15,7.0,preston,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
5:39.0,S7-07,SCENE 7,TURN,8.0,12,4.0,preston,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
5:47.0,S7-08,SCENE 7,HOLD,3.5,8,4.5,preston,"He lands it. Hold past comfortable, then cut on the card."
5:50.5,S7-09,SCENE 7,OUT,2.5,8,5.5,—,"The exit. Cut on the hit — the music is doing the work here."
5:53.0,— MARKER —,SCENE 7,CARD,,,,,"THE DEVICE — Cut the wires, dial the code, hold dead steady. One twitch and it blows."
5:53.0,S8-01,SCENE 8,ESTABLISH,3.0,12,9.0,—,"Set the place. Cut out the moment it reads — these run long by design."
5:56.0,S8-02,SCENE 8,BUILD,6.0,15,9.0,preston,"The scene. Carry the line; trim to the words plus a breath."
6:02.0,S8-03,SCENE 8,BUILD,4.0,12,8.0,rico,"The scene. Carry the line; trim to the words plus a breath."
6:06.0,S8-04,SCENE 8,BUILD,3.5,10,6.5,rico,"The scene. Carry the line; trim to the words plus a breath."
6:09.5,S8-05,SCENE 8,APPROACH,4.0,10,6.0,rico,"He registers you. Cut INTO the turn on the matching head angle — this join should be invisible."
6:13.5,S8-06,SCENE 8,TURN,8.0,15,7.0,rico,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
6:21.5,S8-07,SCENE 8,TURN,6.5,12,5.5,rico,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
6:28.0,S8-08,SCENE 8,HOLD,3.5,8,4.5,rico,"He lands it. Hold past comfortable, then cut on the card."
6:31.5,S8-09,SCENE 8,OUT,2.5,8,5.5,—,"The exit. Cut on the hit — the music is doing the work here."
6:34.0,— MARKER —,SCENE 8,CARD,,,,,"THE BLUEPRINT — Ten seconds, two blueprints. Burn the icons in, then call them back."
6:34.0,S9-01,SCENE 9,ESTABLISH,3.0,12,9.0,—,"Set the place. Cut out the moment it reads — these run long by design."
6:37.0,S9-02,SCENE 9,BUILD,5.0,15,10.0,problem,"The scene. Carry the line; trim to the words plus a breath."
6:42.0,S9-03,SCENE 9,BUILD,3.5,10,6.5,marcus,"The scene. Carry the line; trim to the words plus a breath."
6:45.5,S9-04,SCENE 9,INSERT,2.0,8,6.0,—,"A cutaway. Short. It exists to hide a join or land a joke."
6:47.5,S9-05,SCENE 9,APPROACH,4.0,10,6.0,marcus,"He registers you. Cut INTO the turn on the matching head angle — this join should be invisible."
6:51.5,S9-06,SCENE 9,TURN,8.0,15,7.0,marcus,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
6:59.5,S9-07,SCENE 9,TURN,6.5,12,5.5,marcus,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
7:06.0,S9-08,SCENE 9,HOLD,4.5,8,3.5,marcus,"He lands it. Hold past comfortable, then cut on the card."
7:10.5,S9-09,SCENE 9,OUT,3.5,12,8.5,—,"The exit. Cut on the hit — the music is doing the work here."
7:14.0,— MARKER —,SCENE 9,CARD,,,,,"CHOP SHOP — Build the longest convoy. Cross your own tail and it's over."
7:14.0,S10-01,SCENE 10,ESTABLISH,2.5,12,9.5,—,"Set the place. Cut out the moment it reads — these run long by design."
7:16.5,S10-02,SCENE 10,BUILD,5.0,15,10.0,—,"The scene. Carry the line; trim to the words plus a breath."
7:21.5,S10-03,SCENE 10,BUILD,4.5,12,7.5,don,"The scene. Carry the line; trim to the words plus a breath."
7:26.0,S10-04,SCENE 10,INSERT,2.5,10,7.5,handler,"A cutaway. Short. It exists to hide a join or land a joke."
7:28.5,S10-05,SCENE 10,APPROACH,3.5,10,6.5,—,"He registers you. Cut INTO the turn on the matching head angle — this join should be invisible."
7:32.0,S10-06,SCENE 10,TURN,7.5,15,7.5,—,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
7:39.5,S10-07,SCENE 10,TURN,7.5,15,7.5,rico,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
7:47.0,S10-08,SCENE 10,HOLD,3.5,8,4.5,—,"He lands it. Hold past comfortable, then cut on the card."
7:50.5,S10-09,SCENE 10,OUT,3.0,10,7.0,—,"The exit. Cut on the hit — the music is doing the work here."
7:53.5,— MARKER —,SCENE 10,CARD,,,,,"THE GETAWAY — Five lights. Go on green. Jump early and you're busted."
7:53.5,S11-01,SCENE 11,ESTABLISH,3.0,12,9.0,—,"Set the place. Cut out the moment it reads — these run long by design."
7:56.5,S11-02,SCENE 11,BUILD,5.5,15,9.5,problem,"The scene. Carry the line; trim to the words plus a breath."
8:02.0,S11-03,SCENE 11,BUILD,3.5,10,6.5,marcus,"The scene. Carry the line; trim to the words plus a breath."
8:05.5,S11-04,SCENE 11,INSERT,2.0,8,6.0,—,"A cutaway. Short. It exists to hide a join or land a joke."
8:07.5,S11-05,SCENE 11,APPROACH,4.0,10,6.0,marcus,"He registers you. Cut INTO the turn on the matching head angle — this join should be invisible."
8:11.5,S11-06,SCENE 11,TURN,8.5,15,6.5,marcus,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
8:20.0,S11-07,SCENE 11,TURN,7.0,12,5.0,marcus,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
8:27.0,S11-08,SCENE 11,HOLD,4.0,8,4.0,marcus,"He lands it. Hold past comfortable, then cut on the card."
8:31.0,S11-09,SCENE 11,OUT,2.5,8,5.5,—,"The exit. Cut on the hit — the music is doing the work here."
8:33.5,— MARKER —,SCENE 11,CARD,,,,,"THROW UP — Spray in the dark, lift off on the searchlight. Cleanest piece wins."
8:33.5,S12-01,SCENE 12,ESTABLISH,4.0,15,11.0,—,"Set the place. Cut out the moment it reads — these run long by design."
8:37.5,S12-02,SCENE 12,BUILD,5.5,15,9.5,president,"The scene. Carry the line; trim to the words plus a breath."
8:43.0,S12-03,SCENE 12,INSERT,3.0,10,7.0,—,"A cutaway. Short. It exists to hide a join or land a joke."
8:46.0,S12-04,SCENE 12,BUILD,4.5,12,7.5,—,"The scene. Carry the line; trim to the words plus a breath."
8:50.5,S12-05,SCENE 12,INSERT,2.5,8,5.5,mcgraw,"A cutaway. Short. It exists to hide a join or land a joke."
8:53.0,S12-06,SCENE 12,APPROACH,5.5,12,6.5,handler,"He registers you. Cut INTO the turn on the matching head angle — this join should be invisible."
8:58.5,S12-07,SCENE 12,TURN,9.0,15,6.0,handler,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
9:07.5,S12-08,SCENE 12,TURN,7.5,12,4.5,handler,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
9:15.0,S12-09,SCENE 12,HOLD,5.0,10,5.0,—,"He lands it. Hold past comfortable, then cut on the card."
9:20.0,S12-10,SCENE 12,OUT,3.5,10,6.5,—,"The exit. Cut on the hit — the music is doing the work here."
9:23.5,— MARKER —,SCENE 12,CARD,,,,,"THE COMBINATION — Four colours, one code. Black dot: right colour, right spot. White dot: right colour, wrong spot."
9:23.5,FIN-01,FINALE,ESTABLISH,5.5,15,9.5,—,"Set the place. Cut out the moment it reads — these run long by design."
9:29.0,FIN-02,FINALE,ESTABLISH,4.5,12,7.5,—,"Set the place. Cut out the moment it reads — these run long by design."
9:33.5,FIN-03,FINALE,BUILD,5.0,10,5.0,don,"The scene. Carry the line; trim to the words plus a breath."
9:38.5,FIN-04,FINALE,BUILD,5.0,10,5.0,rico,"The scene. Carry the line; trim to the words plus a breath."
9:43.5,FIN-05,FINALE,BUILD,5.0,10,5.0,marcus,"The scene. Carry the line; trim to the words plus a breath."
9:48.5,FIN-06,FINALE,BUILD,5.0,10,5.0,preston,"The scene. Carry the line; trim to the words plus a breath."
9:53.5,FIN-07,FINALE,INSERT,4.0,10,6.0,—,"A cutaway. Short. It exists to hide a join or land a joke."
9:57.5,FIN-08,FINALE,BUILD,6.5,12,5.5,mcgraw,"The scene. Carry the line; trim to the words plus a breath."
10:04.0,FIN-09,FINALE,BUILD,6.0,10,4.0,president,"The scene. Carry the line; trim to the words plus a breath."
10:10.0,FIN-10,FINALE,APPROACH,7.0,12,5.0,handler,"He registers you. Cut INTO the turn on the matching head angle — this join should be invisible."
10:17.0,FIN-11,FINALE,TURN,12.5,15,2.5,handler,"The fourth wall. Do not trim the head of this one; the rotation is the shot."
10:29.5,FIN-12,FINALE,HOLD,8.5,12,3.5,handler,"He lands it. Hold past comfortable, then cut on the card."
10:38.0,FIN-13,FINALE,OUT,5.5,12,6.5,—,"The exit. Cut on the hit — the music is doing the work here."
10:43.5,FIN-14,FINALE,POST-CREDIT,9.5,15,5.5,mcgraw,"After everything. Let the room empty a little first."
10:53.0,— MARKER —,FINALE,CARD,,,,,"No game — this plays over the closer. Release into the sing-along."
